Item,Price,Vendor,Received,Paid,Plan_Timing,Plan_Decision,Inventory_Group,Restore_Replace,Build_State,Reconciled_Status,Reconciled_Note,Procured_Mark,Estimate_Range_PKR,Estimate_Avg_PKR,Estimate_Priority,Estimate_Source,Source_Tab,Source_Row,Inventory_ID,Purchase_Priority,Priority_Order,Priority_Basis,New_vs_Refresh_Decision,Photo_Evidence_Level,Photo_Evidence_Basis,Decision_Confidence,Lead_Time_Risk,Sourcing_Region
14mm Nylon Braided Sleeve price in Pakistan × 5,1500,electronicsstore.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 8 into Parts inventory.,,,,,,Wiring,8,INV-0071,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
16 mm²,,,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Red | Evidence indicates purchased/received. | Migrated from Wiring row 80 into Parts inventory.,,,,,,Wiring,80,INV-0110,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
16.1 x 4,160,industryparts.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 88 into Parts inventory.,,,,,,Wiring,88,INV-0114,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
16mm Nylon Braided Sleeve x 5,1450,electronicsstore.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 6 into Parts inventory.,,,,,,Wiring,6,INV-0069,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
"1m, 4 AWG, Red",11529,AliExpress,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 67 into Parts inventory.,,,,,,Wiring,67,INV-0101,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,high,import_cn_or_global
1x 100A  LITTEL FUSE ANL Car Fuse MEGA Bolt-on,1026,AliExpress,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Main Fuse | Evidence indicates purchased/received. | Migrated from Wiring row 32 into Parts inventory.,,,,,,Wiring,32,INV-0080,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,high,import_cn_or_global
20mmn Nylon Braided Sleeve Price in Paklistan × 5,1750,,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 13 into Parts inventory.,,,,,,Wiring,13,INV-0075,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
20mmn Nylon Braided Sleeve Price in Paklistan × 5,1750,electronicsstore.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 9 into Parts inventory.,,,,,,Wiring,9,INV-0072,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
25 mm²,,,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Red | Evidence indicates purchased/received. | Migrated from Wiring row 81 into Parts inventory.,,,,,,Wiring,81,INV-0111,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
25.1 x 4,160,industryparts.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 89 into Parts inventory.,,,,,,Wiring,89,INV-0115,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
35.1 x 4,225,industryparts.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 90 into Parts inventory.,,,,,,Wiring,90,INV-0116,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
35mm²,,,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Black 1.5m | Evidence indicates purchased/received. | Migrated from Wiring row 82 into Parts inventory.,,,,,,Wiring,82,INV-0112,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
4 mm²,,,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Green | Evidence indicates purchased/received. | Migrated from Wiring row 75 into Parts inventory.,,,,,,Wiring,75,INV-0105,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
5 Pin 40A Car Relay 12V x 6,8196,AliExpress,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Relays | Evidence indicates purchased/received. | Migrated from Wiring row 41 into Parts inventory.,,,,,,Wiring,41,INV-0086,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,high,import_cn_or_global
555 Black Red Terminal M8 Blocks Power Supply Terminals Welding Machine Inverter Post Connector x 10,3275,Digilog,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 97 into Parts inventory.,,,,,,Wiring,97,INV-0119,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
6 mm²,,,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Red | Evidence indicates purchased/received. | Migrated from Wiring row 76 into Parts inventory.,,,,,,Wiring,76,INV-0106,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
6 Way Distribution Block Car Midi Fuse Box Block Holder 200A Bolt,18101,AliExpress,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 27 into Parts inventory.,,,,,,Wiring,27,INV-0078,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,high,import_cn_or_global
6pcs Ratchet Crimping Tool Set,11964,Temu,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 54 into Parts inventory.,,,,,,Wiring,54,INV-0096,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,high,import_cn_or_global
70.12 x 10,1313,industryparts.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 91 into Parts inventory.,,,,,,Wiring,91,INV-0117,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
8 mm²,,,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Red | Evidence indicates purchased/received. | Migrated from Wiring row 77 into Parts inventory.,,,,,,Wiring,77,INV-0107,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
8mm Nylon Braided Sleeve x 5,800,electronicsstore.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 4 into Parts inventory.,,,,,,Wiring,4,INV-0067,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
Bare Copper Braid Tape,12500,industryparts.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 92 into Parts inventory.,,,,,,Wiring,92,INV-0118,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
body_floor,existing,,Y,,body_structure,repair_in_place,existing_component,restore_and_reuse,in_progress_weld_repair,reuse_existing,RR action=close_floor_rust_map_and_repair_scope; evidence=akber_khan-00798 | Tub/chassis weld repair planned before final paint; keep as repair/reuse path.,✓,,,,,Restore_Replace,11,INV-0148,In progress - bodywork,1,manual_bodywork_update_2026_04_15,REFRESH_EXISTING,medium,"photo_group=body_floor; group_photo_count=15; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
body_sections,existing,,Y,,body_and_weather_seal,refurbish_send_out,existing_component,restore_and_reuse,in_progress_refresh,reuse_existing,RR action=confirm_vendor_scope_and_return_condition; evidence=akber_khan-00796 | Lower body section repair/refinish in progress; no new panel buy unless weld inspection finds non-repairable areas.,✓,,,,,Restore_Replace,6,INV-0143,In progress - bodywork,1,manual_bodywork_update_2026_04_15,REFRESH_EXISTING,medium,"photo_group=body_exterior; group_photo_count=6; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
"Classification of Deutsch DT Series Connectors, Size 16 Stamped Contacts, Automotive Electrical Connectors, 188pcs x 2",17644,Temu,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 53 into Parts inventory.,,,,,,Wiring,53,INV-0095,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,high,import_cn_or_global
Contact Cleaner 400ML × 1,1800,ToolsMart.pk,Y,Y,,,consumable_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Substances row 22 into Parts inventory.,,,,,,Substances,22,INV-0136,Done / On hand,0,status,BUY_NEW,medium,"photo_group=body_floor; group_photo_count=15; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
Copper Cable Lug 16mm cable 8mm Bolt Hole Pakistan × 10,280,fiaz.com.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 45 into Parts inventory.,,,,,,Wiring,45,INV-0087,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
Dielectric Grease,5609,AliExpress,,Y,,,consumable_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Substances row 2 into Parts inventory.,,,,,,Substances,2,INV-0122,Done / On hand,0,status,BUY_NEW,medium,"photo_group=body_floor; group_photo_count=15; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,high,import_cn_or_global
Dielectric Grease,11529,adenwalla.net,,,post_baseline_only,no_additional_buy_duplicate_entry,consumable_material,inspect_then_decide,procured_or_on_hand,procured_or_on_hand,Duplicate?  Needed? | Open item with no procurement evidence yet. | Migrated from Substances row 3 into Parts inventory. | Reconciled 2026-04-15: duplicate of procured Dielectric Grease line; no additional purchase required.,,,,,,Substances,3,INV-0123,Done / On hand,0,Duplicate resolved against procured Dielectric Grease line,INSPECT_THEN_DECIDE,medium,"photo_group=body_floor; group_photo_count=15; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
doors,existing,,Y,,body_and_weather_seal,refurbish_send_out,existing_component,restore_and_reuse,completed_refresh,reuse_existing,RR action=confirm_vendor_scope_and_return_condition; evidence=fj40-00229|akber_khan-00568|akber_khan-00705|akber_khan-00796 | Doors repainted; reuse existing unless hidden damage appears at final fit-up.,✓,,,,,Restore_Replace,3,INV-0140,Done / On hand,0,manual_bodywork_update_2026_04_15,REFRESH_EXISTING,medium,"photo_group=removable_panels; group_photo_count=13; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
electrical_accessories,existing,,Y,,electrical,remove_nonbaseline_and_refit_clean,existing_component,restore_and_reuse,existing_reuse,reuse_existing,RR action=finish_deletion_of_old_accessory_wiring; evidence=fj40-00251,✓,,,,,Restore_Replace,10,INV-0147,Done / On hand,0,status,REFRESH_EXISTING,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
Engine-specific compressor bracket and belt solution,re-use,,,,,,existing_component,restore_and_reuse,existing_reuse,reuse_existing,"Marked for re-use, not replacement purchase.",✓,15000-50000,40000,High,Fabricator,Parts,9,INV-0008,Done / On hand,0,status,REFRESH_EXISTING,medium,"photo_group=engine_bay; group_photo_count=10; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
Grommet Set,18600,starshop.pk,,9200 COD,post_baseline_only,defer_as_non_baseline,replacement_part,deferred_decision,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 3 into Parts inventory. | RR action=No supplier action now.; evidence=Entry is already explicitly deferred or duplicate against selected baseline.,,,,,,Wiring,3,INV-0066,Done / On hand,0,procurement_pass2,DEFER_DECISION,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",medium,low,local_pk_or_on_hand
H4 Ceramic Headlight Connector,1350,Auto Xpert,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 51 into Parts inventory.,,,,,,Wiring,51,INV-0093,Done / On hand,0,procurement_pass2,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
heat shrink tubing (various sizes) x 2,4200,IndustryParts.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 10 into Parts inventory.,,,,,,Wiring,10,INV-0073,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
hood,existing,,Y,,body_and_weather_seal,refurbish_send_out,existing_component,restore_and_reuse,planned_refresh,reuse_existing,RR action=confirm_vendor_scope_and_return_condition; evidence=akber_khan-00796 | Retain refresh path; buy only if post-weld/post-paint inspection finds non-repairable damage.,✓,1000-5000,5000,Low,Local rubber supplier,Restore_Replace,5,INV-0142,P5 - Later phase,5,manual_bodywork_update_2026_04_15,REFRESH_EXISTING,medium,"photo_group=body_exterior; group_photo_count=6; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
https://uni-core.pk/product/cables-wires/flexible-cables/2-5mmsq-flexible-cable/ - blue,9080,uni-core.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 72 into Parts inventory.,,,,,,Wiring,72,INV-0102,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
https://uni-core.pk/product/flexible-cables/1-5mmsq-flexible-cable/ - yellow,5770,uni-core.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 73 into Parts inventory.,,,,,,Wiring,73,INV-0103,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
https://uni-core.pk/product/flexible-cables/1mmsq-flexible-cable/ - white,4430,uni-core.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 74 into Parts inventory.,,,,,,Wiring,74,INV-0104,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
Insulated Thimbles female lug 2.5mm Blue in Pakistan × 1,450,fiaz.com.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 49 into Parts inventory.,,,,,,Wiring,49,INV-0091,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
Insulated Thimbles Male lug 2.5mm Blue in Pakistan × 1,700,fiaz.com.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 48 into Parts inventory.,,,,,,Wiring,48,INV-0090,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
interior,existing,,Y,,interior_refit,clean_store_for_reuse,existing_component,restore_and_reuse,existing_reuse,reuse_existing,RR action=complete_tagging_and_damage_check; evidence=akber_khan-00793|akber_khan-00796|akber_khan-00808,✓,,,,,Restore_Replace,9,INV-0146,Done / On hand,0,status,REFRESH_EXISTING,high,"photo_group=interior_cabin; group_photo_count=24; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
Lithium Grease + PTFE 400ML × 1,2200,ToolsMart.pk,Y,Y,,,consumable_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Substances row 21 into Parts inventory.,,,,,,Substances,21,INV-0135,Done / On hand,0,status,BUY_NEW,medium,"photo_group=body_floor; group_photo_count=15; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
Littelfuse Bolt-down Automotive Fuse MIDI/498 Auto Fuse 30A  x2,3409,AliExpress,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 34 into Parts inventory.,,,,,,Wiring,34,INV-0082,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,high,import_cn_or_global
Littelfuse Bolt-down Automotive Fuse MIDI/498 Auto Fuse 50A,,AliExpress,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 35 into Parts inventory.,,,,,,Wiring,35,INV-0083,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,high,import_cn_or_global
Littelfuse Bolt-down Automotive Fuse MIDI/498 Auto Fuse 50A,,AliExpress,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 36 into Parts inventory.,,,,,,Wiring,36,INV-0084,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,high,import_cn_or_global
Littelfuse Bolt-down Automotive Fuse MIDI/498 Auto Fuse 60A,843,AliExpress,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 37 into Parts inventory.,,,,,,Wiring,37,INV-0085,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,high,import_cn_or_global
Loctite 290 – Medium/High Strength Wicking Grade Threadlocker × 1,1520,ToolsMart.pk,Y,Y,,,consumable_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Substances row 20 into Parts inventory.,,3000-10000,8000,Medium,Hardware / tool supplier,Substances,20,INV-0134,Done / On hand,0,status,BUY_NEW,medium,"photo_group=body_floor; group_photo_count=15; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
MOMO Carbon Fiber Steering Wheel,8444,pakwheels,Y,Y,,,replacement_part,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received.,✓,,,,,Parts,6,INV-0005,Done / On hand,0,status,BUY_NEW,high,"photo_group=chassis_underside; group_photo_count=32; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
O-type Blue Insulated Thimble/ Cable Lug 2.5mm × 1,250,fiaz.com.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 47 into Parts inventory.,,,,,,Wiring,47,INV-0089,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
O-type Yellow Insulated Thimble/ Cable Lug 4mm (6mm hole) × 1,750,fiaz.com.pk,Y,Y,,,wiring_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Wiring row 50 into Parts inventory.,,,,,,Wiring,50,INV-0092,Done / On hand,0,status,BUY_NEW,high,"photo_group=electrical_system; group_photo_count=52; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
PERMATEX 81150 DIE ELECTRIC TUNE UP GREASE 0.33 OZ,1288,Adenwalla & Sons,,COD,,,consumable_material,replace_or_procure,procured_or_on_hand,procured_or_on_hand,Evidence indicates purchased/received. | Migrated from Substances row 4 into Parts inventory.,,,,,,Substances,4,INV-0124,Done / On hand,0,status,BUY_NEW,medium,"photo_group=body_floor; group_photo_count=15; spot_checked=20260410_013927,20260411_065030,20260324_004852,20260323_210944,20260408_211754,20260413_005435,20260405_234652,20260321_235600,20260317_235150",high,low,local_pk_or_on_hand
